,Unnamed: 0,Destination,Origin,T1990,T1995,T2000,T2005,T2010,T2015,T2020,M1990,M1995,M2000,M2005,M2010,M2015,M2020,F1990,F1995,F2000,F2005,F2010,F2015,F2020,origin_lat,origin_long,dest_lat,dest_long
47,1451,latin america and the caribbean,southern europe,1416711.0,1206867.0,1003433.0,869921.0,757367.0,855748.0,895094.0,729488.0,620574.0,515639.0,447760.0,391244.0,440448.0,465663.0,687223.0,586293.0,487794.0,422161.0,366123.0,415300.0,429431.0,40.04744,-3.988746,19.432384,-100.460844
48,1452,latin america and the caribbean,western europe,238430.0,250088.0,264500.0,267704.0,289986.0,325507.0,339742.0,124997.0,130645.0,137877.0,138726.0,149728.0,167671.0,176851.0,113433.0,119443.0,126623.0,128978.0,140258.0,157836.0,162891.0,48.144353,7.037436,19.432384,-100.460844
49,1453,latin america and the caribbean,latin america and the caribbean,3980808.0,3670383.0,3777576.0,4357513.0,5344184.0,6166726.0,11297173.0,1975515.0,1814401.0,1858809.0,2124686.0,2598130.0,3040982.0,5626827.0,2005293.0,1855982.0,1918767.0,2232827.0,2746054.0,3125744.0,5670346.0,19.432384,-100.460844,19.432384,-100.460844
50,1454,latin america and the caribbean,caribbean,523950.0,579841.0,639148.0,703194.0,781155.0,993471.0,1335731.0,283320.0,311238.0,340577.0,374128.0,412885.0,555895.0,753206.0,240630.0,268603.0,298571.0,329066.0,368270.0,437576.0,582525.0,18.500124,-75.063329,19.432384,-100.460844
51,1455,latin america and the caribbean,central america,1253201.0,680929.0,511753.0,563563.0,635043.0,691735.0,827876.0,608633.0,329978.0,250645.0,271615.0,299880.0,327439.0,402979.0,644568.0,350951.0,261108.0,291948.0,335163.0,364296.0,424897.0,17.145601,-94.557348,19.432384,-100.460844
52,1456,latin america and the caribbean,south america,2203657.0,2409613.0,2626675.0,3090756.0,3927986.0,4481520.0,9133566.0,1083562.0,1173185.0,1267587.0,1478943.0,1885365.0,2157648.0,4470642.0,1120095.0,1236428.0,1359088.0,1611813.0,2042621.0,2323872.0,4662924.0,-12.684091,-56.063741,19.432384,-100.460844
53,1457,latin america and the caribbean,northern america,602762.0,688958.0,796397.0,967044.0,1198308.0,1182133.0,1293053.0,296712.0,341196.0,397354.0,486478.0,608846.0,594523.0,662046.0,306050.0,347762.0,399043.0,480566.0,589462.0,587610.0,631007.0,43.947885,-98.041543,19.432384,-100.460844
54,1458,latin america and the caribbean,oceania,2552.0,2912.0,3400.0,3585.0,4249.0,4723.0,5630.0,1290.0,1478.0,1733.0,1961.0,2499.0,2813.0,3415.0,1262.0,1434.0,1667.0,1624.0,1750.0,1910.0,2215.0,-21.439922,152.58884,19.432384,-100.460844
55,1459,latin america and the caribbean,australia and new zealand,2487.0,2801.0,3247.0,3437.0,4093.0,4551.0,5451.0,1254.0,1421.0,1657.0,1885.0,2413.0,2715.0,3309.0,1233.0,1380.0,1590.0,1552.0,1680.0,1836.0,2142.0,-25.79385,138.356838,19.432384,-100.460844
56,1698,oceania (excluding australia and new zealand),world,258678.0,280580.0,296618.0,306039.0,298175.0,302810.0,313069.0,144238.0,153072.0,156788.0,161215.0,158458.0,160348.0,165505.0,114440.0,127508.0,139830.0,144824.0,139717.0,142462.0,147564.0,,,-6.82688,145.715927
57,1703,oceania (excluding australia and new zealand),latin america and the caribbean,1117.0,1327.0,1606.0,3473.0,4933.0,4861.0,5094.0,555.0,670.0,785.0,1698.0,2437.0,2407.0,2527.0,562.0,657.0,821.0,1775.0,2496.0,2454.0,2567.0,19.432384,-100.460844,-6.82688,145.715927
58,1704,oceania (excluding australia and new zealand),oceania (excluding australia and new zealand),55191.0,61890.0,68468.0,68242.0,65111.0,67700.0,69783.0,28327.0,31742.0,34827.0,34709.0,33223.0,34236.0,35269.0,26864.0,30148.0,33641.0,33533.0,31888.0,33464.0,34514.0,-6.82688,145.715927,-6.82688,145.715927
59,1705,oceania (excluding australia and new zealand),australia and new zealand,25034.0,25995.0,22277.0,22675.0,21187.0,21043.0,21372.0,14104.0,14980.0,13087.0,13462.0,12581.0,12562.0,12745.0,10930.0,11015.0,9190.0,9213.0,8606.0,8481.0,8627.0,-25.79385,138.356838,-6.82688,145.715927
60,1719,oceania (excluding australia and new zealand),africa,2216.0,2528.0,2817.0,2993.0,3077.0,2506.0,2600.0,1300.0,1465.0,1616.0,1722.0,1779.0,1376.0,1423.0,916.0,1063.0,1201.0,1271.0,1298.0,1130.0,1177.0,11.375205,18.667941,-6.82688,145.715927
61,1720,oceania (excluding australia and new zealand),eastern africa,73.0,82.0,80.0,92.0,69.0,66.0,54.0,41.0,47.0,47.0,55.0,42.0,47.0,40.0,32.0,35.0,33.0,37.0,27.0,19.0,14.0,1.284477,36.395127,-6.82688,145.715927
62,1721,oceania (excluding australia and new zealand),middle africa,,,,,,,,,,,,,,,,,,,,,,0.245791,20.311119,-6.82688,145.715927
63,1722,oceania (excluding australia and new zealand),northern africa,2143.0,2446.0,2737.0,2901.0,3008.0,2440.0,2546.0,1259.0,1418.0,1569.0,1667.0,1737.0,1329.0,1383.0,884.0,1028.0,1168.0,1234.0,1271.0,1111.0,1163.0,25.349166,20.092951,-6.82688,145.715927
64,1723,oceania (excluding australia and new zealand),southern africa,,,,,,,,,,,,,,,,,,,,,,-23.955657,23.723146,-6.82688,145.715927
65,1724,oceania (excluding australia and new zealand),western africa,,,,,,,,,,,,,,,,,,,,,,13.01892,-4.551812,-6.82688,145.715927
66,1725,oceania (excluding australia and new zealand),asia,75767.0,86641.0,97997.0,96972.0,88083.0,85932.0,88735.0,41625.0,45339.0,47920.0,47637.0,45280.0,44118.0,45509.0,34142.0,41302.0,50077.0,49335.0,42803.0,41814.0,43226.0,47.594606,87.520641,-6.82688,145.715927
67,1726,oceania (excluding australia and new zealand),central asia,,,,,,,,,,,,,,,,,,,,,,44.488183,66.966089,-6.82688,145.715927
68,1727,oceania (excluding australia and new zealand),eastern asia,17492.0,23049.0,29667.0,24927.0,16896.0,16335.0,16808.0,8809.0,10184.0,11511.0,9993.0,7743.0,7587.0,7830.0,8683.0,12865.0,18156.0,14934.0,9153.0,8748.0,8978.0,35.736775,105.679125,-6.82688,145.715927
69,1728,oceania (excluding australia and new zealand),south-eastern asia,53048.0,58161.0,62784.0,66549.0,65542.0,63748.0,65907.0,29989.0,32071.0,33109.0,34300.0,34194.0,33041.0,34066.0,23059.0,26090.0,29675.0,32249.0,31348.0,30707.0,31841.0,-0.004774,114.124768,-6.82688,145.715927
70,1729,oceania (excluding australia and new zealand),southern asia,5227.0,5431.0,5546.0,5496.0,5645.0,5849.0,6020.0,2827.0,3084.0,3300.0,3344.0,3343.0,3490.0,3613.0,2400.0,2347.0,2246.0,2152.0,2302.0,2359.0,2407.0,25.436697,75.162443,-6.82688,145.715927
71,1730,oceania (excluding australia and new zealand),western asia,,,,,,,,,,,,,,,,,,,,,,25.422319,44.576248,-6.82688,145.715927
72,1731,oceania (excluding australia and new zealand),europe,42359.0,47299.0,51151.0,58170.0,63093.0,71230.0,74042.0,25264.0,27785.0,29759.0,33121.0,35421.0,39875.0,41334.0,17095.0,19514.0,21392.0,25049.0,27672.0,31355.0,32708.0,48.753021,18.93452,-6.82688,145.715927
73,1732,oceania (excluding australia and new zealand),eastern europe,41.0,42.0,31.0,31.0,26.0,26.0,25.0,26.0,27.0,22.0,23.0,20.0,21.0,22.0,15.0,15.0,9.0,8.0,6.0,5.0,3.0,60.90245,56.64812,-6.82688,145.715927
74,1733,oceania (excluding australia and new zealand),northern europe,3537.0,3389.0,2624.0,2603.0,2329.0,2356.0,2372.0,1952.0,1816.0,1399.0,1469.0,1352.0,1381.0,1401.0,1585.0,1573.0,1225.0,1134.0,977.0,975.0,971.0,61.541307,11.573982,-6.82688,145.715927
75,1734,oceania (excluding australia and new zealand),southern europe,529.0,599.0,668.0,706.0,725.0,598.0,617.0,379.0,426.0,471.0,501.0,514.0,414.0,427.0,150.0,173.0,197.0,205.0,211.0,184.0,190.0,40.04744,-3.988746,-6.82688,145.715927
76,1735,oceania (excluding australia and new zealand),western europe,38252.0,43269.0,47828.0,54830.0,60013.0,68250.0,71028.0,22907.0,25516.0,27867.0,31128.0,33535.0,38059.0,39484.0,15345.0,17753.0,19961.0,23702.0,26478.0,30191.0,31544.0,48.144353,7.037436,-6.82688,145.715927
77,1736,oceania (excluding australia and new zealand),latin america and the caribbean,1117.0,1327.0,1606.0,3473.0,4933.0,4861.0,5094.0,555.0,670.0,785.0,1698.0,2437.0,2407.0,2527.0,562.0,657.0,821.0,1775.0,2496.0,2454.0,2567.0,19.432384,-100.460844,-6.82688,145.715927
78,1737,oceania (excluding australia and new zealand),caribbean,1117.0,1327.0,1606.0,3473.0,4933.0,4861.0,5094.0,555.0,670.0,785.0,1698.0,2437.0,2407.0,2527.0,562.0,657.0,821.0,1775.0,2496.0,2454.0,2567.0,18.500124,-75.063329,-6.82688,145.715927
